tab_code,表章項目,cat01_code,データの種別,cat02_code,銘柄,area_code,地域,time_code,時間軸（月）,unit,value,annotation
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2017000404,2017年4月,円,250,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2017000303,2017年3月,円,259,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2017000202,2017年2月,円,266,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2017000101,2017年1月,円,269,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016001212,2016年12月,円,259,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016001111,2016年11月,円,267,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016001010,2016年10月,円,257,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000909,2016年9月,円,258,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000808,2016年8月,円,269,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000707,2016年7月,円,271,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000606,2016年6月,円,253,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000505,2016年5月,円,251,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000404,2016年4月,円,244,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000303,2016年3月,円,263,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000202,2016年2月,円,274,
10,価格,20,価格,1111,1111 ぶり,13100,特別区部,2016000101,2016年1月,円,275,
